=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     ChocolateCleanOfficial1-weka.filters.unsupervised.attribute.Remove-R33-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.attribute.AddClassification-classification-error-Wweka.classifiers.trees.DecisionStump-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R34-weka.filters.unsupervised.attribute.Remove-R33-35
Instances:    2130
Attributes:   32
              company_location
              country_of_bean_origin
              cocoa_percent
              rating
              sweet
              nutty
              cocoa
              roasty
              earthy
              creamy
              sandy
              fatty
              floral
              intense
              spicy
              sour
              vanilla
              fruit
              molasses
              woody
              sticky
              coffee
              rich
              dried.fruit
              ingredient_Beans
              ingredient_Sugar
              ingredient_Sweetener
              ingredient_Cocoa_Butter
              ingredient_vanilla
              ingredient_lecithin
              ingredient_salt
              number_of_ingredients
Test mode:    split 70.0% train, remainder test

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 0.36 seconds

=== Predictions on test split ===

    inst#     actual  predicted      error
        1      3          2.99      -0.01  
        2      2          2          0     
        3      5          4.89      -0.11  
        4      2          2.021      0.021 
        5      2          2.02       0.02  
        6      2          2.02       0.02  
        7      2          2.02       0.02  
        8      3          2.98      -0.02  
        9      3          2.97      -0.03  
       10      4          3.94      -0.06  
       11      3          2.99      -0.01  
       12      4          3.91      -0.09  
       13      2          2.162      0.162 
       14      3          3.02       0.02  
       15      2          2.01       0.01  
       16      3          2.98      -0.02  
       17      3          3.02       0.02  
       18      2          2.03       0.03  
       19      5          4.85      -0.15  
       20      3          2.98      -0.02  
       21      2          2.02       0.02  
       22      2          2.294      0.294 
       23      3          2.98      -0.02  
       24      2          2          0     
       25      2          2.334      0.334 
       26      2          2.03       0.03  
       27      2          2.02       0.02  
       28      4          3.98      -0.02  
       29      2          2.01       0.01  
       30      3          2.96      -0.04  
       31      2          2.021      0.021 
       32      3          3.181      0.181 
       33      5          4.29      -0.71  
       34      2          2.09       0.09  
       35      2          2.192      0.192 
       36      2          2.02       0.02  
       37      4          3.93      -0.07  
       38      4          3.98      -0.02  
       39      4          3.741     -0.259 
       40      4          4.081      0.081 
       41      2          2.021      0.021 
       42      3          3.02       0.02  
       43      3.053      3.017     -0.036 
       44      2          2          0     
       45      5          4.75      -0.25  
       46      4          3.92      -0.08  
       47      3          3.02       0.02  
       48      4          3.86      -0.14  
       49      2          2.01       0.01  
       50      2          2.09       0.09  
       51      4          3.91      -0.09  
       52      2          2          0     
       53      3          2.99      -0.01  
       54      4          3.96      -0.04  
       55      3          3.01       0.01  
       56      3          2.99      -0.01  
       57      3          3.021      0.021 
       58      3          3.02       0.02  
       59      3.053      2.957     -0.096 
       60      3          3.04       0.04  
       61      4          4          0     
       62      3          3          0     
       63      2          2.161      0.161 
       64      3          3          0     
       65      3          3.08       0.08  
       66      2          2.01       0.01  
       67      3          3.03       0.03  
       68      3          3          0     
       69      3          3          0     
       70      3          3.05       0.05  
       71      3          3.04       0.04  
       72      3          2.99      -0.01  
       73      2          2.081      0.081 
       74      3          2.94      -0.06  
       75      2          2.02       0.02  
       76      4          3.98      -0.02  
       77      5          4.79      -0.21  
       78      3          2.98      -0.02  
       79      2          2.08       0.08  
       80      2          2.041      0.041 
       81      3          3          0     
       82      4          4          0     
       83      4          4.01       0.01  
       84      3          3.02       0.02  
       85      1          2.411      1.411 
       86      2          2.02       0.02  
       87      4          3.94      -0.06  
       88      3          3          0     
       89      3          3.02       0.02  
       90      2          2.01       0.01  
       91      3          3.01       0.01  
       92      4          4.02       0.02  
       93      3          2.99      -0.01  
       94      3          3          0     
       95      2          2.021      0.021 
       96      5          4.81      -0.19  
       97      2          2.03       0.03  
       98      2          2.112      0.112 
       99      5          4.75      -0.25  
      100      3          3.03       0.03  
      101      3          3          0     
      102      2          2          0     
      103      3          3.202      0.202 
      104      2          2.092      0.092 
      105      2          2.01       0.01  
      106      5          4.73      -0.27  
      107      3          3          0     
      108      4          3.97      -0.03  
      109      2          2.021      0.021 
      110      4          3.99      -0.01  
      111      2          2.02       0.02  
      112      2          2.08       0.08  
      113      2          2.01       0.01  
      114      3          2.98      -0.02  
      115      3          3.011      0.011 
      116      4          3.72      -0.28  
      117      4          4.031      0.031 
      118      2          2.03       0.03  
      119      3          2.97      -0.03  
      120      2          2.01       0.01  
      121      4          3.99      -0.01  
      122      4          3.98      -0.02  
      123      3          2.99      -0.01  
      124      3          3.01       0.01  
      125      4          4.06       0.06  
      126      4          4.141      0.141 
      127      2          2.02       0.02  
      128      3          2.99      -0.01  
      129      3          2.99      -0.01  
      130      2          2.02       0.02  
      131      2          2          0     
      132      4          3.92      -0.08  
      133      3          3          0     
      134      2          2.04       0.04  
      135      2          2          0     
      136      3          3.04       0.04  
      137      3          3.03       0.03  
      138      3          3          0     
      139      4          3.97      -0.03  
      140      5          4.9       -0.1   
      141      3          3          0     
      142      3          3          0     
      143      4          3.92      -0.08  
      144      5          4.91      -0.09  
      145      3          3.01       0.01  
      146      3          3.02       0.02  
      147      3          3.01       0.01  
      148      2          2.07       0.07  
      149      2          2.06       0.06  
      150      3          3.07       0.07  
      151      3          3.01       0.01  
      152      2          2          0     
      153      3          2.99      -0.01  
      154      5          4.71      -0.29  
      155      3          2.97      -0.03  
      156      3          2.92      -0.08  
      157      4          3.98      -0.02  
      158      3          2.97      -0.03  
      159      4          3.97      -0.03  
      160      2          2.06       0.06  
      161      2          2.091      0.091 
      162      3          3.03       0.03  
      163      2          2.184      0.184 
      164      3          2.99      -0.01  
      165      5          4.79      -0.21  
